AC No.,address,households,area(sq km),wardNo,district
64,"Ram Nagar Lal Bagh, Khand-B Railway Phatak, Shahdara",123,2282,247,North East
64,"Lal Bagh Shriram Nagar, A-Block G.T Road Shahdara",223,2462,247,North East
62,"Aradhik Nagar, Dehi U.P. Border G.T. Road Shahdara",365,17315,239,East
62,Behind Krishna Market Jhilmil Colony,1108,11430,238,East
62,Block-B Jhilmil Colony (Balmiki Basti),125,3506,239,East
62,A&B-Block Jhilmil Industrial Area Raj Nagar Sonia  Colony (Sonia Camp) ,509,18542,239,East
62,A&B-Block Jhilmil Industrial Area Raj Nagar Sonia Colony (Rajiv Camp) ,295,5011,239,East
62,A&B-Block Jhilmil Industrial Area Raj Nagar Sonia Colony (Dr. Ambedekar Camp) ,713,10837,239,East
62,Deepak Colony Dilshad Garden Behind D.D.A. Office ,195,10713,239,East
62,"H-Block Kalender Colony, Dilshad Garden Part-I",933,6671,239,East
62,"H-Block Kalender Colony, Dilshad Garden Part-II",2567,18352,239,East
62,Dilshad Vihar Julfi Bengal Dilshad Garden Shahdara,219,2920,239,East
62,Dr. Rajinder Parsad Colony at Dilshad Garden,110,2734,239,East
62,Dilshad Garden E-120 Near Gurudwara,77,1891,239,East
62,"E-39, Jhugiee Colony Dilshad Garden",250,1701,239,East
63,Gram Khera Mansarover Park,557,17600,241,East
63,Tahir Pur Road No.64,1073,14470,241,East
63,"Block.G-3,G-5 Sunder Nagri",999,38304,244,East
63,F2 Block Sunder Nagari,188,11845,244,East
63,E-2 Block Nand Nagri,93,2707,244,East
63,"F1 Block, Sunder Nagari",290,10212,244,East
64,"C-Block, Nand Nagri",69,617,245,North East
64,Railway Quarters Colony Mandoli Road Delhi,99,686,245,North East
63,Block-D 1&2 Nand Nagari,492,8085,243,East
68,Block-C Sanjay Camp Gokal Puri-I,735,17160,262,North East
59,18 Quarters Vishwas Nagar.,67,2557,226,East
59,Jhuggies Adjoining Railway Line Anand Vihar,528,24441,225,East
58,Harizan Samiti Near Dispensary Mangal Bazar Mandavali ,200,5285,224,East
38,"Shanker Camp Behind C-II Flats, Moti Bagh Near Vidhan Chand Vidyalaya.",86,800,275,South West
38,"JJ Cluster Harijan Basti, Anant Ram Dairy, Sector XIII, R.K. Puram",311,2352,275,South West
